month,country,merchant_segment,device,payment_method,attempts,successes,attempted_volume_usd,refunds,disputes,platform_revenue_usd,successful_amount_usd,success_rate,refund_rate,dispute_rate
2026-01,AU,Enterprise,Desktop,BNPL,36,34,3927.59,1,0,72.03,3793.57,0.9444444444444444,0.029411764705882353,0.0
2026-01,AU,Enterprise,Desktop,Bank debit,67,65,6600.08,2,0,119.75,6304.05,0.9701492537313433,0.03076923076923077,0.0
2026-01,AU,Enterprise,Desktop,Card,545,514,65694.14,8,2,1184.65,62351.95,0.9431192660550459,0.01556420233463035,0.0038910505836575876
2026-01,AU,Enterprise,Desktop,Wallet,146,137,16407.36,2,1,293.11,15426.03,0.9383561643835616,0.014598540145985401,0.0072992700729927005
2026-01,AU,Enterprise,Mobile,BNPL,91,80,10023.96,1,0,170.87,8994.69,0.8791208791208791,0.0125,0.0
2026-01,AU,Enterprise,Mobile,Bank debit,149,134,13866.63,2,1,237.02,12475.460000000001,0.8993288590604027,0.014925373134328358,0.007462686567164179
2026-01,AU,Enterprise,Mobile,Card,872,828,95181.45,14,7,1725.99,90841.5,0.9495412844036697,0.016908212560386472,0.008454106280193236
2026-01,AU,Enterprise,Mobile,Wallet,261,247,26224.55,2,0,474.21,24958.31,0.946360153256705,0.008097165991902834,0.0
2026-01,AU,Mid-market,Desktop,BNPL,89,83,7388.26,0,1,109.26,5747.94,0.9325842696629213,0.0,0.012048192771084338
2026-01,AU,Mid-market,Desktop,Bank debit,183,171,12631.67,1,0,231.58,12188.86,0.9344262295081968,0.005847953216374269,0.0
2026-01,AU,Mid-market,Desktop,Card,992,927,66364.74,15,4,1185.75,62405.69,0.9344758064516129,0.016181229773462782,0.004314994606256742
2026-01,AU,Mid-market,Desktop,Wallet,309,297,21540.3,5,1,388.84,20465.08,0.9611650485436893,0.016835016835016835,0.003367003367003367
2026-01,AU,Mid-market,Mobile,BNPL,161,140,11261.11,1,0,193.27,10173.63,0.8695652173913043,0.007142857142857143,0.0
2026-01,AU,Mid-market,Mobile,Bank debit,314,290,20904.63,3,1,363.09,19105.0,0.9235668789808917,0.010344827586206896,0.0034482758620689655
2026-01,AU,Mid-market,Mobile,Card,1821,1718,137399.18,25,7,2465.75,129784.57,0.943437671609006,0.014551804423748545,0.004074505238649592
2026-01,AU,Mid-market,Mobile,Wallet,568,551,40951.12,11,2,760.72,40041.99,0.9700704225352113,0.019963702359346643,0.003629764065335753
2026-01,AU,SMB,Desktop,BNPL,177,165,7438.99,5,0,132.36,6965.35,0.9322033898305084,0.030303030303030304,0.0
2026-01,AU,SMB,Desktop,Bank debit,330,307,17601.05,2,1,308.38,16232.68,0.9303030303030303,0.006514657980456026,0.003257328990228013
2026-01,AU,SMB,Desktop,Card,1962,1834,96479.24,22,17,1713.78,90202.41,0.9347604485219164,0.011995637949836423,0.009269356597600873
2026-01,AU,SMB,Desktop,Wallet,642,615,33585.85,12,3,607.76,31989.76,0.9579439252336449,0.01951219512195122,0.004878048780487805
2026-01,AU,SMB,Mobile,BNPL,336,311,18224.61,7,0,321.71,16932.5,0.9255952380952381,0.022508038585209004,0.0
2026-01,AU,SMB,Mobile,Bank debit,613,576,31130.12,15,1,557.33,29331.58,0.9396411092985318,0.026041666666666668,0.001736111111111111
2026-01,AU,SMB,Mobile,Card,3417,3207,161429.88,46,25,2882.12,151683.53,0.9385425812115891,0.014343623323978797,0.0077954474586841285
2026-01,AU,SMB,Mobile,Wallet,1060,1012,49660.58,13,0,895.45,47138.18,0.9547169811320755,0.012845849802371542,0.0
2026-01,CA,Enterprise,Desktop,BNPL,80,74,7214.16,2,0,130.58,6872.97,0.925,0.02702702702702703,0.0
