payment_id,merchant_id,customer_id,event_ts,country,merchant_segment,device,payment_method,amount_usd,payment_succeeded,decline_reason,refund_flag,dispute_flag,processing_latency_ms,platform_revenue_usd
pay_000463154,m_04927,c_0009130,2026-01-01 00:00:00,US,Enterprise,Desktop,Card,105.3,1,,0,0,967,2.0
pay_000671413,m_01475,c_0103527,2026-01-01 00:00:00,DE,SMB,Mobile,Wallet,28.0,1,,0,0,538,0.53
pay_000960462,m_03527,c_0050531,2026-01-01 00:00:00,US,SMB,Desktop,Card,23.32,1,,0,0,565,0.44
pay_000005083,m_03608,c_0125448,2026-01-01 00:00:00,DE,SMB,Mobile,Wallet,250.25,1,,0,0,565,4.75
pay_000692907,m_02790,c_0058400,2026-01-01 00:00:00,US,Mid-market,Mobile,BNPL,68.92,0,issuer_decline,0,0,1035,0.0
pay_000227329,m_03215,c_0178845,2026-01-01 00:00:00,US,SMB,Mobile,Bank debit,28.53,1,,0,0,1167,0.54
pay_000868482,m_04470,c_0056912,2026-01-01 00:00:00,AU,SMB,Desktop,Card,66.49,1,,0,0,755,1.26
pay_000718909,m_02459,c_0153972,2026-01-01 00:01:00,CA,Mid-market,Mobile,Card,104.67,1,,0,0,571,1.99
pay_000703043,m_03054,c_0084741,2026-01-01 00:01:00,DE,SMB,Mobile,Card,92.38,1,,0,0,739,1.76
pay_000049783,m_03099,c_0034994,2026-01-01 00:01:00,CA,Mid-market,Mobile,Card,270.62,1,,0,0,548,5.14
pay_000838283,m_01478,c_0021142,2026-01-01 00:02:00,US,SMB,Mobile,Wallet,9.9,1,,0,0,965,0.19
pay_000284194,m_03312,c_0158198,2026-01-01 00:02:00,DE,SMB,Desktop,Card,18.86,1,,0,0,932,0.36
pay_000902826,m_03614,c_0095596,2026-01-01 00:03:00,US,SMB,Mobile,Card,40.91,1,,0,0,560,0.78
pay_000358565,m_00484,c_0146324,2026-01-01 00:03:00,CA,SMB,Mobile,BNPL,42.35,1,,0,0,770,0.8
pay_000503108,m_04894,c_0062237,2026-01-01 00:03:00,US,SMB,Mobile,BNPL,116.81,1,,0,0,557,2.22
pay_000125433,m_03492,c_0102808,2026-01-01 00:04:00,US,Mid-market,Mobile,BNPL,31.73,1,,0,0,568,0.6
pay_000020436,m_00739,c_0075469,2026-01-01 00:04:00,CA,Mid-market,Mobile,Bank debit,17.54,1,,0,0,1358,0.33
pay_000281836,m_03158,c_0145357,2026-01-01 00:05:00,US,Enterprise,Desktop,Wallet,46.59,1,,0,0,897,0.89
pay_000291092,m_00175,c_0066149,2026-01-01 00:05:00,AU,Enterprise,Mobile,Card,68.95,1,,0,0,492,1.31
pay_000168869,m_04541,c_0045808,2026-01-01 00:05:00,DE,SMB,Desktop,Wallet,125.47,1,,0,0,965,2.38
pay_000698966,m_03210,c_0034854,2026-01-01 00:05:00,US,Enterprise,Desktop,Card,98.82,1,,0,0,762,1.88
pay_000769198,m_00278,c_0080894,2026-01-01 00:05:00,AU,SMB,Mobile,Card,36.01,1,,0,0,433,0.68
pay_000897683,m_00773,c_0178209,2026-01-01 00:06:00,CA,Enterprise,Desktop,Card,78.03,1,,0,0,852,1.48
pay_000067347,m_02626,c_0018884,2026-01-01 00:06:00,US,Mid-market,Desktop,Card,236.23,1,,0,0,400,4.49
pay_000454280,m_03469,c_0058203,2026-01-01 00:06:00,US,Enterprise,Desktop,Wallet,26.39,1,,0,0,896,0.5
pay_000037968,m_01173,c_0035022,2026-01-01 00:06:00,GB,Mid-market,Desktop,Card,9.71,1,,0,0,1032,0.18
pay_000328989,m_04624,c_0015527,2026-01-01 00:06:00,GB,SMB,Desktop,Card,50.28,1,,1,0,589,0.96
pay_000410114,m_04458,c_0162137,2026-01-01 00:06:00,AU,SMB,Desktop,Bank debit,151.24,1,,0,0,808,2.87
pay_000118372,m_00078,c_0130951,2026-01-01 00:07:00,US,Mid-market,Desktop,Wallet,102.14,1,,0,0,585,1.94
pay_000066427,m_00401,c_0024889,2026-01-01 00:07:00,DE,SMB,Mobile,Card,13.7,1,,0,0,532,0.26
pay_000624042,m_02133,c_0006180,2026-01-01 00:07:00,GB,SMB,Mobile,Card,9.21,1,,0,0,643,0.17
pay_000353642,m_01078,c_0044472,2026-01-01 00:07:00,US,Enterprise,Desktop,Card,346.96,1,,0,0,665,6.59
pay_000424282,m_02558,c_0120235,2026-01-01 00:08:00,CA,SMB,Desktop,Card,24.81,1,,0,0,690,0.47
pay_000788494,m_00248,c_0156650,2026-01-01 00:08:00,US,SMB,Mobile,Card,32.48,1,,0,0,939,0.62
